CountyAreaId,CountyArea,eHispanic,eNotHispanic,eNotProvided,ePreferNotToState,rWhite,rBlack,rIndianAlaskan,rHawaiianIslander,rAsian,rMoreThanOne,rUndetermined
1,Accomack,0,5,0,0,5,0,0,0,0,0,0
2,Albemarle,12,236,0,10,229,0,0,0,1,11,17
3,Alexandria (city),35,105,0,1,49,47,0,0,6,39,0
4,Alleghany,11,158,0,3,143,14,0,2,1,12,0
5,Amelia,0,75,0,5,68,2,0,0,0,7,3
6,Amherst,4,196,0,1,168,15,1,0,0,16,1
7,Appomattox,12,134,0,1,122,10,4,0,0,10,1
8,Arlington,11,66,0,0,37,7,1,0,12,20,0
9,Augusta,2,274,0,4,260,2,0,0,0,8,10
10,Bath,1,44,0,0,41,2,0,0,0,2,0
11,Bedford,3,222,0,4,204,6,1,0,2,13,3
13,Bland,1,77,0,0,77,0,0,0,0,1,0
14,Botetourt,3,158,0,5,150,0,0,0,2,9,5
16,Brunswick,1,173,0,1,107,60,0,0,0,8,0
17,Buchanan,0,56,0,0,52,1,0,0,3,0,0
18,Buckingham,18,436,0,0,311,108,0,0,0,34,1
20,Campbell,7,144,0,3,127,5,0,1,2,14,5
21,Caroline,3,73,0,4,64,6,1,1,0,4,4
22,Carroll,23,231,36,6,257,1,0,0,0,2,36
23,Charles City,0,1,0,0,1,0,0,0,0,0,0
24,Charlotte,3,36,0,0,30,4,0,0,0,3,2
26,Chesapeake (city),27,280,0,4,279,3,2,0,0,19,8
27,Chesterfield,3700,1335,19,17,1558,1253,13,6,165,2036,40
28,Clarke,0,171,0,1,153,1,0,0,0,10,8
31,Craig,0,65,0,0,64,0,1,0,0,0,0
32,Culpeper,4,200,0,5,185,3,0,2,0,11,8
33,Cumberland,1,60,0,2,42,8,1,0,0,8,4
34,Danville (city),2,23,0,0,9,13,0,0,0,3,0
35,Dickenson,3,186,4,1,182,0,0,0,0,8,4
36,Dinwiddie,21,447,0,11,325,95,9,1,1,32,16
38,Essex,0,21,0,0,15,2,0,0,0,4,0
39,Fairfax,64,311,0,7,229,41,3,2,41,48,18
42,Fauquier,24,320,0,22,297,7,0,0,4,24,34
43,Floyd,41,714,0,6,708,6,5,0,5,25,12
44,Fluvanna,28,443,0,7,373,36,3,0,1,58,7
45,Franklin,34,496,0,3,460,50,0,1,2,15,5
47,Frederick,12,291,0,16,289,5,0,0,3,11,11
50,Giles,72,464,0,0,524,0,0,0,0,10,2
51,Gloucester,12,189,0,8,179,5,0,3,1,14,7
52,Goochland,12,365,54,0,325,32,0,3,3,13,55
53,Grayson,5,174,0,5,168,3,0,0,1,11,1
54,Greene,5,88,1025,2,75,1,3,0,2,9,1030
55,Greensville/Emporia,1,84,0,0,35,41,0,0,0,9,0
56,Halifax,1,145,0,3,125,14,1,0,0,6,3
57,Hampton (city),4,84,0,3,17,67,0,0,0,4,3
58,Hanover,9,119,0,2,122,0,0,0,1,4,3
137,Harrisonburg (city),0,1,0,0,1,0,0,0,0,0,0
60,Henrico,64,290,10,12,168,70,1,0,68,42,27
61,Henry/Martinsville,260,1428,310,6,1024,467,5,0,4,183,321
62,Highland,2,172,0,0,142,2,0,0,0,30,0
64,Isle of Wight,10,145,0,3,139,5,1,0,0,10,3
65,James City,2,46,0,0,38,1,0,0,0,6,3
66,King and Queen,0,3,0,0,3,0,0,0,0,0,0
67,King George,47,166,0,9,150,5,0,0,1,56,10
68,King William,1,49,0,1,49,0,0,0,0,2,0
69,Lancaster,0,11,0,1,12,0,0,0,0,0,0
70,Lee,3,106,0,0,106,0,0,0,0,3,0
72,Loudoun,25,371,0,29,318,12,1,1,24,36,33
73,Louisa,43,749,0,2,628,65,1,0,0,93,7
74,Lunenburg,0,4,0,0,4,0,0,0,0,0,0
75,Lynchburg (city),9,179,0,0,77,85,0,0,2,23,1
76,Madison,13,274,0,4,256,9,0,0,1,20,5
79,Mathews,62,108,0,1,142,8,0,0,3,17,1
80,Mecklenburg,22,457,0,1,264,171,0,0,3,41,1
81,Middlesex,1,10,88,0,8,1,0,0,0,2,88
82,Montgomery,214,3095,4,6,2752,163,13,6,151,218,16
83,Nelson,18,86,0,3,82,4,0,0,1,8,12
84,New Kent,1,78,0,3,69,3,4,0,0,3,3
85,Newport News (city),0,9,0,0,5,2,0,0,0,2,0
86,Norfolk (city),2,15,0,0,8,3,0,0,1,4,1
87,Northampton,1,33,0,0,31,1,0,0,2,0,0
88,Northumberland,1,29,0,3,23,1,0,0,0,4,5
90,Nottoway,3,72,0,2,48,18,0,0,0,10,1
91,Orange,9,210,0,4,199,3,0,1,1,14,5
92,Page,19,495,0,1,490,9,0,0,3,11,2
93,Patrick,4,147,0,0,129,12,1,0,1,8,0
94,Petersburg (city),39,30,0,2,3,61,2,0,0,5,0
95,Pittsylvania,4,135,0,3,124,9,0,0,0,8,1
97,Portsmouth (city),3,36,249,1,18,18,0,0,0,3,250
