VolunteerID,Hours,City,PostalCode,County,,CF - Demographic Information - Gender,CF - Demographic Information - Age Range,CF - Demographic Information - Ethnicity,CF - Demographic Information - Race
1,217,Virginia Beach,23456,Virginia Beach city,,Female,,Not Hispanic or Latino/a/x,05. White
2,85.7,Virginia Beach,23454,Virginia Beach city,,Female,,Not Hispanic or Latino/a/x,05. White
3,11,SCOTTSVILLE,24590,Albemarle County,,Female,,Not Hispanic or Latino/a/x,05. White
4,did not log hours,Carrollton,23314,Isle of Wight County,,Female,,Not Hispanic or Latino/a/x,05. White
5,did not log hours,Sugar Grove,24375,Smyth County,,Male,,Not Hispanic or Latino/a/x,05. White
6,did not log hours,Wise,24293,Wise County,,,,,
7,14,Sugar Grove,24375,Smyth County,,Female,,Not Hispanic or Latino/a/x,05. White
8,75.5,Springfield,22152,Fairfax County,,,,,
9,33,Springfield,22152,Fairfax County,,,,,
10,87.5,Portsmouth,23703,Portsmouth city,,Female,,Not Hispanic or Latino/a/x,03. Black or African American
11,68,Hampton,23669,Hampton city,,Female,,Hispanic or Latino/a/x,03. Black or African American
12,3,Fairfax,22030,Fairfax County,,Female,,Not Hispanic or Latino/a/x,07. Other
13,127.67,Arlington,22204,Arlington County,,Female,,Not Hispanic or Latino/a/x,05. White
14,148.25,Ruckersville,22968,Greene County,,Female,,Not Hispanic or Latino/a/x,05. White
15,did not log hours,"YORKTOWN, VA",23692,York County,,Female,,Not Hispanic or Latino/a/x,05. White
16,31,Manassas,20111,Prince William County,,Female,,Other,05. White
17,736,Rescue,23424,Isle of Wight County,,Female,,Not Hispanic or Latino/a/x,05. White
18,did not log hours,Norfolk,23507,Norfolk city,,Male,2. 18 to 64 years old,,05. White
19,did not log hours,Prince George,23875,Prince George County,,,,,
20,did not log hours,Marshall,20115,Fauquier County,,Female,,Not Hispanic or Latino/a/x,05. White
21,36.729999999999997,Hampton,23661,Hampton city,,Female,,Not Hispanic or Latino/a/x,05. White
22,did not log hours,Arlington,22203,Arlington County,,,,,
23,201.33,Williamsburg,23185,James City County,,,,,
24,59.55,Henrico,23233,Henrico County,,Female,,Hispanic or Latino/a/x,05. White
25,did not log hours,Chesapeake,23322,Chesapeake city,,Female,,Not Hispanic or Latino/a/x,05. White
26,61,Arlington,22207,Arlington County,,Female,,Not Hispanic or Latino/a/x,05. White
27,20.25,Arlington,22204,Arlington County,,Male,2. 18 to 64 years old,Hispanic or Latino/a/x,06. Two or more races
28,35,Norge,23127,James City County,,,,,
29,did not log hours,Christiansburg,24073,Montgomery County,,Female,,Not Hispanic or Latino/a/x,02. Asian
30,191.08,Yorktown,23693,York County,,Male,,Prefer not to answer,08. Prefer not to answer
31,389.1,Yorktown,23693,York County,,Female,,Prefer not to answer,08. Prefer not to answer
32,19,Springfield,22152,Fairfax County,,,,,
33,did not log hours,Herndon,20170,Fairfax County,,Male,,Other,05. White
34,50.08,Luray,22835,Page County,,Male,,Other,06. Two or more races
35,71.75,Charlottesville,22901,Albemarle County,,Female,,Not Hispanic or Latino/a/x,08. Prefer not to answer
36,6.5,Lynchburg,24501,Lynchburg city,,Female,,Not Hispanic or Latino/a/x,06. Two or more races
37,85,Roanoke,24017,Roanoke city,,Female,,Other,03. Black or African American
38,59,Fork Union,23055,Fluvanna County,,Female,,Not Hispanic or Latino/a/x,06. Two or more races
39,did not log hours,Wilmington,19808,New Castle County,,Female,,Not Hispanic or Latino/a/x,05. White
40,15.58,Charlottesville,22901,Albemarle County,,Male,,Other,05. White
41,91.5,Ruckersville,22968,Greene County,,Female,,Not Hispanic or Latino/a/x,05. White
42,did not log hours,Henrico,23229,Henrico County,,Female,,Not Hispanic or Latino/a/x,05. White
43,did not log hours,Ashland,23005,Hanover County,,Male,,Not Hispanic or Latino/a/x,05. White
44,43.58,N. Chesterfield,23234,Chesterfield County,,Male,,Not Hispanic or Latino/a/x,05. White
45,did not log hours,Manassas,20109,Prince William County,,,,,
46,did not log hours,Washington DC,20024,District of Columbia,,,,,
47,93,Danville,24541,Danville city,,Female,,Not Hispanic or Latino/a/x,05. White
48,did not log hours,Emory,24327,Washington County,,,,,
49,69.5,Sandy Ridge,27046,Stokes County,,,,,
50,did not log hours,Woodbridge,22191,Prince William County,,,,,
