,site_name,site_city,site_county,site_zip,site_setting,number_sessions,num_volunteers,total_volunteer_hours,participants_total,participants_gender_male,participants_gender_female,participants_gender_non_binary,participants_gender_prefer_not_to_respond,participants_age_youth,participants_age_lt5,participants_age_5to7,participants_age_8to10,participants_age_11to13,participants_age_14to17,participants_age_18to29,participants_age_30to59,participants_age_60to75,participants_age_76plus,participants_age_adult,participants_ethnicity_hispanic,participants_ethnicity_non_hispanic,participants_ethnicity_prefer_not_to_respond,participants_ethnicity_unknown,participants_amerind_onerace_total,participants_amerind_multirace_total,participants_asian_onerace_total,participants_asian_multirace_total,participants_black_onerace_total,participants_black_multirace_total,participants_hawpac_onerace_total,participants_hawpac_multirace_total,,participants_white_multirace_total,participants_race_amerind,participants_race_asian,participants_race_black,participants_race_hawpac,participants_race_white,participants_race_two_or_more,participants_race_prefer_not_to_respond,participants_race_unknown
1,Tye River Elementary,Arrington,Nelson,22922,"Schools (K-12, elementary, middle, and high)",5,1,3.33,18,7,11,NA,NA,18,18,NA,NA,NA,NA,0,0,NA,NA,NA,0,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,14,0,NA,NA
2,Jackson-Via Elementary School,Charlottesville,Charlottesville,22903,"Schools (K-12, elementary, middle, and high)",6,1,3.83,62,34,28,NA,NA,62,NA,62,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,62,0,0,0,0,0,0,0,0,0,0,NA,12,21,NA,21,0,NA,8
3,Jackson-Via Elementary School,Charlottesville,Charlottesville,22903,"Schools (K-12, elementary, middle, and high)",10,1,2.33,81,33,48,NA,NA,81,NA,81,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,81,0,0,0,0,0,0,0,0,0,0,NA,17,27,NA,25,0,NA,12
4,Chase City Elementary School,Chase City,Mecklenburg,23924,"Schools (K-12, elementary, middle, and high)",6,6,4,18,12,6,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,NA,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,15,NA,5,0,NA,NA
5,Chase City Elementary School,Chase City,Mecklenburg,23924,"Schools (K-12, elementary, middle, and high)",6,6,4,24,11,13,NA,NA,24,NA,24,NA,NA,NA,0,0,NA,NA,NA,NA,24,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,19,NA,9,0,NA,NA
6,Chase City Elementary School,Chase City,Mecklenburg,23924,"Schools (K-12, elementary, middle, and high)",6,6,6,19,10,9,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,2,17,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,14,NA,8,0,NA,NA
7,Mecklenburg County Public School District,Boydton,Mecklenburg,23917,"Schools (K-12, elementary, middle, and high)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,21,13,8,NA,NA,21,NA,21,NA,NA,NA,0,0,NA,NA,NA,5,16,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,3,NA,12,0,NA,5
9,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,16,7,9,NA,NA,16,NA,16,NA,NA,NA,0,0,NA,NA,NA,7,9,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,2,NA,6,0,NA,7
10,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,20,10,10,NA,NA,20,NA,20,NA,NA,NA,0,0,NA,NA,NA,6,14,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,3,NA,9,0,NA,7
